date_start,data_end,name,ticker,indic,retorno,ret
1/1/2012,1/31/2012,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,6,3.360998293,0.033609983
1/1/2012,1/31/2012,PETROBRAS PN ,PETR4<XBSP>,3,15.39432139,0.153943214
1/1/2012,1/31/2012,COPEL PNB ,CPLE6<XBSP>,3,4.241645244,0.042416452
1/1/2012,1/31/2012,OGX PETRÓLEO ON ,OGXP3<XBSP>,3,21.51248164,0.215124816
1/1/2012,1/31/2012,REDECARD ON ,RDCD3<XBSP>,2,7.913669065,0.079136691
1/1/2012,1/31/2012,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,2,8.955223881,0.089552239
1/1/2012,1/31/2012,GERDAU PN ,GGBR4<XBSP>,2,14.82758621,0.148275862
1/1/2012,1/31/2012,CETIP ON ,CTIP3<XBSP>,2,0,0
1/1/2012,1/31/2012,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,2,-1.927710843,-0.019277108
1/1/2012,1/31/2012,CIELO ON ,CIEL3<XBSP>,2,7.987551867,0.079875519
2/1/2012,2/29/2012,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,3,4.819414379,0.048194144
2/1/2012,2/29/2012,OGX PETRÓLEO ON ,OGXP3<XBSP>,3,2.719033233,0.027190332
2/1/2012,2/29/2012,TIM PART. ON ,TIMS3<XBSP>,2,7.113402062,0.071134021
2/1/2012,2/29/2012,VALE PNA ,VALE5<XBSP>,2,-0.445069103,-0.004450691
2/1/2012,2/29/2012,TELEFÔNICA BR PN ,VIVT4<XBSP>,2,5.652620761,0.056526208
2/1/2012,2/29/2012,LOJAS RENNER ON ,LREN3<XBSP>,2,10.81355932,0.108135593
2/1/2012,2/29/2012,COPEL PNB ,CPLE6<XBSP>,2,6.609124538,0.066091245
2/1/2012,2/29/2012,CETIP ON ,CTIP3<XBSP>,2,18.73840445,0.187384045
2/1/2012,2/29/2012,BANCO DO BRASIL ON ,BBAS3<XBSP>,2,2.26384325,0.022638432
2/1/2012,2/29/2012,MULTIPLUS ON ,MPLU3<XBSP>,2,18.23608419,0.182360842
