date_start,data_end,name,ticker,retorno,ret
1/1/2007,1/31/2007,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,1.452646816,0.014526468
1/1/2007,1/31/2007,PETROBRAS PN ,PETR4<XBSP>,-5.025329281,-0.050253293
1/1/2007,1/31/2007,COPEL PNB ,CPLE6<XBSP>,3.36,0.0336
1/1/2007,1/31/2007,OGX PETRÓLEO ON ,OGXP3<XBSP>,,
1/1/2007,1/31/2007,REDECARD ON ,RDCD3<XBSP>,,
1/1/2007,1/31/2007,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,-7.296251834,-0.072962518
1/1/2007,1/31/2007,GERDAU PN ,GGBR4<XBSP>,2.549412776,0.025494128
1/1/2007,1/31/2007,CETIP ON ,CTIP3<XBSP>,,
1/1/2007,1/31/2007,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,-1.158324346,-0.011583243
1/1/2007,1/31/2007,CIELO ON ,CIEL3<XBSP>,,
1/1/2007,1/31/2007,TIM PART. ON ,TIMS3<XBSP>,-9.705648369,-0.097056484
1/1/2007,1/31/2007,VALE PNA ,VALE5<XBSP>,10.90573013,0.109057301
1/1/2007,1/31/2007,TELEFÔNICA BR PN ,VIVT4<XBSP>,-2.091773996,-0.02091774
1/1/2007,1/31/2007,LOJAS RENNER ON ,LREN3<XBSP>,-3.094462541,-0.030944625
1/1/2007,1/31/2007,BANCO DO BRASIL ON ,BBAS3<XBSP>,8.59375,0.0859375
1/1/2007,1/31/2007,MULTIPLUS ON ,MPLU3<XBSP>,,
1/1/2007,1/31/2007,PDG REALTY ON ,PDGR3<XBSP>,,
1/1/2007,1/31/2007,BRF ON ,BRFS3<XBSP>,-9.364641119,-0.093646411
1/1/2007,1/31/2007,DASA ON ,DASA3<XBSP>,-6.900328587,-0.069003286
1/1/2007,1/31/2007,AMBEV PN ,AMBV4<XBSP>,3.8425412,0.038425412
1/1/2007,1/31/2007,IOCHPE MAXION ON ,MYPK3<XBSP>,,
1/1/2007,1/31/2007,COSAN ON ,CSAN3<XBSP>,-8.948545861,-0.089485459
1/1/2007,1/31/2007,BM&FBOVESPA ON ,B3SA3<XBSP>,,
1/1/2007,1/31/2007,PETROBRAS ON ,PETR3<XBSP>,-3.774981495,-0.037749815
1/1/2007,1/31/2007,CEMIG PN ,CMIG4<XBSP>,-3.133631775,-0.031336318
1/1/2007,1/31/2007,AES TIETÊ PN ,GETI4<XBSP>,2.969502408,0.029695024
1/1/2007,1/31/2007,CCR ON ,CCRO3<XBSP>,-3.292894281,-0.032928943
1/1/2007,1/31/2007,ULTRAPAR ON ,UGPA3<XBSP>,,
1/1/2007,1/31/2007,MARCOPOLO PN ,POMO4<XBSP>,5.042016807,0.050420168
1/1/2007,1/31/2007,MRV ON ,MRVE3<XBSP>,,
1/1/2007,1/31/2007,BR MALLS PART. ON ,BRML3<XBSP>,,
1/1/2007,1/31/2007,ARTERIS ON ,ARTR3<XBSP>,-6.540697674,-0.065406977
1/1/2007,1/31/2007,VALE ON ,VALE3<XBSP>,11.61695447,0.116169545
1/1/2007,1/31/2007,RAIA DROGASIL ON ,RADL3<XBSP>,,
1/1/2007,1/31/2007,OI PN ,OIBR4<XBSP>,-5.479452055,-0.054794521
1/1/2007,1/31/2007,BR PROPERTIES ON ,BRPR3<XBSP>,,
1/1/2007,1/31/2007,SABESP ON ,SBSP3<XBSP>,-7.849829352,-0.078498294
1/1/2007,1/31/2007,KROTON UNIT ,KROT11<XBSP>,,
1/1/2007,1/31/2007,BRADESCO PN ,BBDC4<XBSP>,-0.202524555,-0.002025246
1/1/2007,1/31/2007,TOTVS ON ,TOTS3<XBSP>,3.40452527,0.034045253
1/1/2007,1/31/2007,KROTON ON ,COGN3<XBSP>,,
1/1/2007,1/31/2007,COELCE PNA ,COCE5<XBSP>,0,0
1/1/2007,1/31/2007,ANHANGUERA ON ,AEDU3<XBSP>,,
1/1/2007,1/31/2007,EVEN ON ,EVEN3<XBSP>,,
1/1/2007,1/31/2007,RANDON PART. PN ,RAPT4<XBSP>,7.8125,0.078125
1/1/2007,1/31/2007,ITAÚSA PN ,ITSA4<XBSP>,7.600732601,0.076007326
1/1/2007,1/31/2007,HYPERMARCAS ON ,HYPE3<XBSP>,,
1/1/2007,1/31/2007,SOUZA CRUZ ON ,CRUZ3<XBSP>,5.124835743,0.051248357
1/1/2007,1/31/2007,MINERVA ON ,BEEF3<XBSP>,,
1/1/2007,1/31/2007,TRACTEBEL ON ,EGIE3<XBSP>,1.388888889,0.013888889
1/1/2007,1/31/2007,BB SEGURIDADE ON ,BBSE3<XBSP>,,
1/1/2007,1/31/2007,SUZANO PAPEL PNA ,SUZB5<XBSP>,9.905660377,0.099056604
1/1/2007,1/31/2007,ALL ON ,ALLL3<XBSP>,7.21288588,0.072128859
1/1/2007,1/31/2007,ESTÁCIO PART. ON ,YDUQ3<XBSP>,,
1/1/2007,1/31/2007,KLABIN PN ,KLBN4<XBSP>,-4.485981308,-0.044859813
1/1/2007,1/31/2007,AMBEV ON ,ABEV3<XBSP>,3.339342524,0.033393425
1/1/2007,1/31/2007,LOCALIZA ON ,RENT3<XBSP>,0.212342545,0.002123425
1/1/2007,1/31/2007,TUPY ON ,TUPY3<XBSP>,-7.142857143,-0.071428571
1/1/2007,1/31/2007,VALID ON ,VLID3<XBSP>,13.52941176,0.135294118
1/1/2007,1/31/2007,EMBRAER ON ,EMBR3<XBSP>,-3.35600907,-0.033560091
1/1/2007,1/31/2007,FIBRIA ON ,FIBR3<XBSP>,,
1/1/2007,1/31/2007,ESTACIO PART. ON ,YDUQ3<XBSP>,,
1/1/2007,1/31/2007,KLABIN UNIT ,KLBN11<XBSP>,,
1/1/2007,1/31/2007,LOJAS AMERICANAS PN ,LAME4<XBSP>,2.937238494,0.029372385
1/1/2007,1/31/2007,M. DIAS BRANCO ON ,MDIA3<XBSP>,3.04,0.0304
1/1/2007,1/31/2007,CPFL ENERGIA ON ,CPFE3<XBSP>,-6.666666667,-0.066666667
1/1/2007,1/31/2007,QUALICORP ON ,QUAL3<XBSP>,,
1/1/2007,1/31/2007,EQUATORIAL ON ,EQTL3<XBSP>,,
1/1/2007,1/31/2007,WEG ON ,WEGE3<XBSP>,,
1/1/2007,1/31/2007,ITAUSA PN ,ITSA4<XBSP>,7.600732601,0.076007326
1/1/2007,1/31/2007,SÃO MARTINHO ON ,SMTO3<XBSP>,,
1/1/2007,1/31/2007,TELEFÔNICA BRASIL PN ,VIVT4<XBSP>,-2.091773996,-0.02091774
1/1/2007,1/31/2007,RUMO LOG. ON ,RUMO3<XBSP>,,
1/1/2007,1/31/2007,TRANSMISSÃO PAULISTA PN ,TRPL4<XBSP>,1.993355482,0.019933555
1/1/2007,1/31/2007,ECORODOVIAS ON ,ECOR3<XBSP>,,
1/1/2007,1/31/2007,TAESA UNIT ,TAEE11<XBSP>,-4.564315353,-0.045643154
