,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret,ret
ticker,ABEV3<XBSP>,AESB3<XBSP>,ASAI3<XBSP>,B3SA3<XBSP>,BBAS3<XBSP>,BBDC4<XBSP>,BBSE3<XBSP>,BEEF3<XBSP>,BIDI11<XBSP>,BPAC11<XBSP>,BRFS3<XBSP>,BRKM5<XBSP>,BRML3<XBSP>,BRPR3<XBSP>,CCRO3<XBSP>,CIEL3<XBSP>,CMIG4<XBSP>,COCE5<XBSP>,COGN3<XBSP>,CPFE3<XBSP>,CPLE6<XBSP>,CRFB3<XBSP>,CSAN3<XBSP>,CSNA3<XBSP>,CVCB3<XBSP>,CYRE3<XBSP>,DASA3<XBSP>,ECOR3<XBSP>,EGIE3<XBSP>,EMBR3<XBSP>,ENBR3<XBSP>,ENEV3<XBSP>,EQTL3<XBSP>,EVEN3<XBSP>,GGBR4<XBSP>,HAPV3<XBSP>,HYPE3<XBSP>,IRBR3<XBSP>,ITSA4<XBSP>,ITUB4<XBSP>,IVVB11<XBSP>,JBSS3<XBSP>,KLBN11<XBSP>,KLBN4<XBSP>,LAME4<XBSP>,LREN3<XBSP>,LWSA3<XBSP>,MDIA3<XBSP>,MGLU3<XBSP>,MRFG3<XBSP>,MRVE3<XBSP>,MULT3<XBSP>,MYPK3<XBSP>,NTCO3<XBSP>,OIBR4<XBSP>,PCAR3<XBSP>,PCAR4<XBSP>,PDGR3<XBSP>,PETR3<XBSP>,PETR4<XBSP>,PETZ3<XBSP>,POMO4<XBSP>,PRIO3<XBSP>,QUAL3<XBSP>,RADL3<XBSP>,RAIL3<XBSP>,RAPT4<XBSP>,RDOR3<XBSP>,RENT3<XBSP>,SBSP3<XBSP>,SEER3<XBSP>,SIMH3<XBSP>,SMLS3<XBSP>,SMTO3<XBSP>,SUZB3<XBSP>,TAEE11<XBSP>,TEND3<XBSP>,TIMS3<XBSP>,TOTS3<XBSP>,TRPL4<XBSP>,TUPY3<XBSP>,UGPA3<XBSP>,USIM5<XBSP>,VALE3<XBSP>,VBBR3<XBSP>,VIIA3<XBSP>,VIVT3<XBSP>,VIVT4<XBSP>,VLID3<XBSP>,WEGE3<XBSP>,YDUQ3<XBSP>
data_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,-0.070044709,-0.056696828,,0.061863001,-0.051622633,-0.04439735,0.032921312,-0.015081206,0.207905138,-0.008825844,0.141574379,-0.170975323,-0.051207808,0.09561753,0.086956522,0.070441989,0.043847242,0.011616162,-0.195015406,0.005274589,0.060020346,-0.037532829,-0.017492138,-0.131276467,0.043247494,0.032377049,,0.052631579,-0.068158276,-0.070429829,0.041990669,0.03748068,0.013439153,0.155102041,-0.058804124,0.23708134,0.065937707,0.142105263,0.012499424,-0.002424401,0.065807943,0.190361446,-0.050040351,-0.004774266,0.031955923,0.065107459,,-0.07487861,0.100864553,0.259426848,-0.028599606,-0.084536809,-0.106733852,0.078633317,-0.046511628,,-0.064029931,-0.190697674,-0.0109592,-0.014555486,,-0.049868766,-0.039772727,0.286678668,0.108782074,0.008211679,-0.045408678,,0.069090909,-0.031835206,-0.098443245,0.014705882,-0.061628202,-0.117268679,-0.051842191,0.036010129,0.007054512,0.019125336,0.114785928,0.048622031,-0.081728267,-0.164712887,-0.097142857,-0.085123469,0.082706767,0.001295337,0.021555556,0.026195029,-0.241288626,-0.055415617,-0.082798834
2019-09-30,0.028311966,0.020920502,,-0.019083383,-0.011420913,0.030037892,0.072237527,0.153121319,-0.071498691,-0.00051212,0.001573152,0.152374203,0.068991098,0.071818182,0.061538462,0.036188975,-0.029132791,-0.001331336,0.109126984,0.015123457,-0.047792706,-0.056053812,0.064212843,-0.059251485,0.052383644,-0.045256054,,0.137096774,-0.013116941,-0.002228412,-0.024875622,0.142271881,0.047196408,-0.072438163,0.022533023,0.041384645,0.042275412,0.041290323,0.074164629,0.03257185,0.025100713,0.106275304,0.021912351,0.017361111,0.065670048,5.05289e-06,,-0.033149171,0.02066685,0.319760479,-0.104568528,0.110042324,-0.016410256,0.026371628,-0.12804878,,-0.088624943,0.036398467,0.066501592,0.080392157,,-0.094170034,0.030769231,0.087792935,0.042672265,0.108597285,0.013742072,,-0.031382219,-0.040618956,-0.047659574,-0.005797101,0.027027027,0.062219731,0.157152682,0.024911032,-0.027624309,-0.031707317,0.071640683,-0.004032258,0.017573696,0.126065773,-0.011392405,0.04783849,-0.044097222,0.02457956,-0.027191647,0.023663127,0.197573657,0.078696251,0.146853147
2019-10-31,-0.097142857,-0.040163934,,0.108870044,0.05847439,0.069321387,-0.030259777,0.056179775,-0.086344125,0.109479078,-0.070418848,-0.124222878,0.065232477,0.030534351,-0.021548084,-0.055,-0.047452896,0.049825029,-0.135062612,0.003952569,0.122152792,-0.09216152,0.086278195,-0.10808768,-0.082721576,0.11975052,,-0.024822695,0.019599009,-0.021217197,-0.032142857,0.071731334,0.015854023,0.160952381,0.020516717,0.04549675,0.031642294,0.003451938,0.040212443,0.034699415,-0.017533253,-0.137236962,0.027940221,0.037542662,0.001503006,0.00554785,,0.078571429,0.207498165,-0.024500907,-0.002834467,0.017209011,-0.090719499,-0.079740106,-0.083916084,-0.094444444,0.039974937,-0.027726433,0.084577114,0.103085299,,0.116923077,0.061997704,0.143527945,0.148105626,-0.069387755,0.079249218,,-0.050153982,0.101209677,0.064789991,0.148688047,-0.026315789,-0.073350923,-0.030014859,0.002777778,-0.041801948,-0.027786013,0.078628334,-0.045748988,0.065738162,0.02055165,-0.070422535,-0.011518325,0.027243008,-0.063131313,-0.004919499,-0.033855115,-0.039073806,0.052414362,0.08786031
2019-11-30,0.038550058,0.104577054,,-0.013642001,0.000815834,-0.050663393,0.014130115,0.421663443,-0.131274131,0.081434729,0.030695579,0.010469314,0.014332248,0.059259259,0.045620438,0.033909224,-0.043956044,0.0,0.060469124,-0.043307087,0.136159511,-0.015698587,0.074580377,0.06440678,-0.216474722,-0.003341998,,0.047272727,0.033362793,0.026811181,0.048497628,0.159111652,0.012956419,0.025430681,0.269145154,-0.010657194,-0.02972028,-0.011684354,-0.032093363,-0.039072208,0.104615385,0.006716154,0.138864207,0.147811076,0.114557279,0.020689655,,-0.123708609,0.008736559,-0.004651163,0.021379736,-0.009928107,0.109518349,0.06721747,-0.045801527,0.055214724,-0.034100494,-0.062737643,-0.04007843,-0.034461097,,-0.016528926,0.257297297,0.153605016,0.027181818,0.071491228,0.042512077,,0.043075498,0.050897107,-0.021821234,0.085786802,-0.060540541,0.190205011,0.181372549,-0.000898561,0.015510808,0.185639229,0.038856776,-0.028151291,0.029796132,0.155802862,0.172176309,0.058898305,0.005657709,0.187331536,0.040449438,0.059721176,0.056440527,0.192941176,0.080509554
2019-12-31,0.061515408,0.280836828,,-0.099538977,0.108872437,0.101249593,0.094339623,-0.126530612,0.037021219,0.083701068,-0.038251366,0.066452304,0.159922929,0.125097125,0.104130308,0.073076923,0.078295472,-0.009365079,0.115121951,0.125356125,0.13228776,0.241360978,0.120289855,0.123407643,0.101761883,0.147366162,0.154430886,0.131944444,0.122805806,0.096111111,0.111111111,0.14671916,0.104166667,0.2448,0.176470588,0.147217235,0.080971062,0.049016967,0.063861666,0.067678452,-0.034052925,-0.094101124,0.049589121,0.045769747,0.17473207,0.086245343,,0.153264813,0.059293804,-0.069158879,0.250203191,0.144536653,0.208268734,0.167572464,-0.016,,0.093438124,0.498985801,0.025641026,0.049596218,,0.260504202,0.421324162,0.008152174,-0.010498906,0.068358576,0.258220468,,0.107586476,0.055052265,0.19047619,0.251519402,0.129746835,0.152662917,0.029045643,0.108340184,0.266890474,0.157311669,0.00108414,0.027264372,0.284263959,0.168271435,0.117508813,0.094685077,0.075318135,0.267877412,0.059179266,0.030755556,0.267164179,0.140668908,0.120018863
2020-01-31,-0.043920728,-0.051026758,,0.131026462,-0.081029913,-0.090222666,-0.04358725,-0.070872274,0.011585497,-0.006674987,-0.132102273,0.056951424,0.018826135,0.075276243,-0.038988409,-0.152121217,0.084118927,-0.000160231,0.016622922,0.076511955,0.062979586,-0.03254818,0.145608739,-0.085754784,-0.166666667,0.0710677,,0.087730061,0.024606299,-0.080587937,0.029489353,0.000915541,0.046072839,0.075192802,0.0025,-0.057764641,-0.003362286,0.150962773,-0.087295955,-0.115006067,0.067695191,0.068992248,0.127104834,0.149295775,0.06388685,0.022423919,,0.084189962,0.170689685,0.101405622,-0.031554524,0.052532151,-0.071000855,0.230411171,0.097560976,,-0.029321164,0.041948579,-0.0515625,-0.05732273,,0.075555556,0.449788264,0.117520216,0.112683626,-0.111111111,0.014925373,,0.13119595,0.007265522,0.101621622,0.168509768,-0.013326878,0.056913997,-0.000252016,-0.007055805,0.185160649,0.075537298,0.156467854,-0.016829052,-0.016205534,-0.008634223,0.012618297,-0.05684803,-0.042234786,0.253357207,0.08448367,0.039098961,0.034746761,0.137045586,0.109684211
2020-02-29,-0.185434174,-0.002622951,,-0.004149378,-0.025934941,-0.069374634,-0.034780841,-0.025984912,-0.015906681,-0.0992,-0.114893617,-0.14770206,-0.111956522,-0.114964676,-0.104714912,-0.031117397,-0.066220736,0.00625,-0.131669535,-0.071596551,-0.023290656,-0.084108012,-0.081932246,-0.133333333,-0.295068493,-0.061949686,,-0.10998308,-0.086839577,-0.065049614,-0.08590604,-0.022410245,0.034395973,-0.142857143,-0.155610973,-0.081072083,-0.035704245,-0.258309168,-0.033762092,0.005224575,-0.044159352,-0.176939811,-0.071284925,-0.043089043,-0.034482759,-0.072236728,,-0.002190314,-0.094623656,0.100273473,-0.066123622,-0.119953864,-0.104972376,-0.043505675,-0.022222222,-0.132275132,-0.152444758,-0.235064935,-0.105436573,-0.109314587,,0.022310003,-0.17796787,-0.173902557,-0.034777009,-0.089655172,-0.141176471,,-0.076263285,-0.036885246,-0.156035329,-0.108108108,-0.148128898,0.056641404,-0.038568188,-0.031330749,-0.019843488,-0.037014925,-0.048760884,-0.007207207,-0.120530333,-0.235068979,-0.151609553,-0.118559777,-0.09375,-0.013571429,-0.071987779,-0.101195487,-0.164484917,0.098600631,-0.01555682
2020-03-31,-0.180192572,-0.137409599,,-0.239737758,-0.401824221,-0.319268078,-0.21978022,-0.315834768,-0.319181034,-0.507992895,-0.44193787,-0.359613239,-0.389228886,-0.335268505,-0.281690141,-0.351824818,-0.361747851,-0.230769231,-0.603567889,-0.243737686,-0.253939478,-0.002899952,-0.265272653,-0.375670841,-0.568596969,-0.526315789,0.071428571,-0.401140684,-0.181148748,-0.4375,-0.203132648,-0.187134503,-0.286293593,-0.573919107,-0.405325444,-0.231884058,-0.15857803,-0.70887218,-0.268557131,-0.278099109,0.021616276,-0.103964758,-0.169350649,-0.174358974,-0.323308271,-0.369094009,-0.154929577,-0.290243902,-0.228226445,-0.266777133,-0.371985634,-0.374836173,-0.407683314,-0.43441002,-0.295454545,-0.19097561,,-0.407470289,-0.479189687,-0.447908445,,-0.490254529,-0.576142132,-0.310948905,-0.149445027,-0.069602273,-0.533390411,,-0.46780005,-0.334297872,-0.413565891,-0.532828283,-0.623245882,-0.442053605,-0.061615102,-0.138712904,-0.412033077,-0.228766274,-0.342627799,-0.139292196,-0.400639561,-0.343291405,-0.397796818,-0.024599413,-0.405747126,-0.617668356,0.044374518,-0.070751733,-0.369209809,-0.221288865,-0.572750048
