,date_start,data_end,name,ticker,indic,retorno,ret
0,2012-01-01,2012-01-31,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,6,3.360998293,0.033609983
1,2012-01-01,2012-01-31,PETROBRAS PN ,PETR4<XBSP>,3,15.39432139,0.153943214
2,2012-01-01,2012-01-31,COPEL PNB ,CPLE6<XBSP>,3,4.241645244,0.042416452
3,2012-01-01,2012-01-31,OGX PETRÓLEO ON ,OGXP3<XBSP>,3,21.51248164,0.215124816
4,2012-01-01,2012-01-31,REDECARD ON ,RDCD3<XBSP>,2,7.913669065,0.079136691
5,2012-01-01,2012-01-31,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,2,8.955223881,0.089552239
6,2012-01-01,2012-01-31,GERDAU PN ,GGBR4<XBSP>,2,14.82758621,0.148275862
7,2012-01-01,2012-01-31,CETIP ON ,CTIP3<XBSP>,2,0.0,0.0
8,2012-01-01,2012-01-31,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,2,-1.927710843,-0.019277108
9,2012-01-01,2012-01-31,CIELO ON ,CIEL3<XBSP>,2,7.987551867,0.079875519
10,2012-02-01,2012-02-29,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,3,4.819414379,0.048194144
11,2012-02-01,2012-02-29,OGX PETRÓLEO ON ,OGXP3<XBSP>,3,2.719033233,0.027190332
12,2012-02-01,2012-02-29,TIM PART. ON ,TIMS3<XBSP>,2,7.113402062,0.071134021
13,2012-02-01,2012-02-29,VALE PNA ,VALE5<XBSP>,2,-0.445069103,-0.004450691
14,2012-02-01,2012-02-29,TELEFÔNICA BR PN ,VIVT4<XBSP>,2,5.652620761,0.056526208
15,2012-02-01,2012-02-29,LOJAS RENNER ON ,LREN3<XBSP>,2,10.81355932,0.108135593
16,2012-02-01,2012-02-29,COPEL PNB ,CPLE6<XBSP>,2,6.609124538,0.066091245
17,2012-02-01,2012-02-29,CETIP ON ,CTIP3<XBSP>,2,18.73840445,0.187384045
18,2012-02-01,2012-02-29,BANCO DO BRASIL ON ,BBAS3<XBSP>,2,2.26384325,0.022638432
19,2012-02-01,2012-02-29,MULTIPLUS ON ,MPLU3<XBSP>,2,18.23608419,0.182360842
20,2012-03-01,2012-03-31,VALE PNA ,VALE5<XBSP>,3,-2.447058823,-0.024470588
21,2012-03-01,2012-03-31,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,2,9.296482412,0.092964824
22,2012-03-01,2012-03-31,PDG REALTY ON ,PDGR3<XBSP>,2,-14.03269755,-0.140326975
23,2012-03-01,2012-03-31,PETROBRAS PN ,PETR4<XBSP>,2,-3.465848801,-0.034658488
24,2012-03-01,2012-03-31,OGX PETRÓLEO ON ,OGXP3<XBSP>,2,-11.17647059,-0.111764706
25,2012-03-01,2012-03-31,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,2,-3.955610059,-0.039556101
26,2012-03-01,2012-03-31,BRF ON ,BRFS3<XBSP>,2,0.278551532,0.002785515
27,2012-03-01,2012-03-31,CETIP ON ,CTIP3<XBSP>,2,-5.102983757,-0.051029838
28,2012-03-01,2012-03-31,DASA ON ,DASA3<XBSP>,2,-12.4375,-0.124375
29,2012-03-01,2012-03-31,AMBEV PN ,AMBV4<XBSP>,2,10.70894757,0.107089476
30,2012-04-01,2012-04-30,IOCHPE MAXION ON ,MYPK3<XBSP>,2,-7.739388951,-0.07739389
31,2012-04-01,2012-04-30,OGX PETRÓLEO ON ,OGXP3<XBSP>,2,-12.38410596,-0.12384106
32,2012-04-01,2012-04-30,TIM PART. ON ,TIMS3<XBSP>,2,-0.74998687,-0.007499869
33,2012-04-01,2012-04-30,BRF ON ,BRFS3<XBSP>,2,-3.194444445,-0.031944444
34,2012-04-01,2012-04-30,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,2,-14.07704425,-0.140770443
35,2012-04-01,2012-04-30,COSAN ON ,CSAN3<XBSP>,2,-2.532391049,-0.02532391
36,2012-04-01,2012-04-30,BM&FBOVESPA ON ,B3SA3<XBSP>,1,-4.62633452,-0.046263345
37,2012-04-01,2012-04-30,PETROBRAS PN ,PETR4<XBSP>,1,-8.822269807,-0.088222698
38,2012-04-01,2012-04-30,PETROBRAS ON ,PETR3<XBSP>,1,-7.860082304,-0.078600823
39,2012-04-01,2012-04-30,GERDAU PN ,GGBR4<XBSP>,1,2.634593356,0.026345934
40,2012-05-01,2012-05-31,TIM PART. ON ,TIMS3<XBSP>,3,-14.02116402,-0.14021164
41,2012-05-01,2012-05-31,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,3,-13.67231638,-0.136723164
42,2012-05-01,2012-05-31,IOCHPE MAXION ON ,MYPK3<XBSP>,3,-24.10039311,-0.241003931
43,2012-05-01,2012-05-31,CEMIG PN ,CMIG4<XBSP>,2,-6.881948121,-0.068819481
44,2012-05-01,2012-05-31,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,2,-2.284475571,-0.022844756
45,2012-05-01,2012-05-31,AES TIETÊ PN ,GETI4<XBSP>,2,4.67148297,0.04671483
46,2012-05-01,2012-05-31,CCR ON ,CCRO3<XBSP>,2,6.081081081,0.060810811
47,2012-05-01,2012-05-31,OGX PETRÓLEO ON ,OGXP3<XBSP>,2,-22.14663643,-0.221466364
48,2012-05-01,2012-05-31,VALE PNA ,VALE5<XBSP>,1,-11.41133896,-0.11411339
49,2012-05-01,2012-05-31,PETROBRAS PN ,PETR4<XBSP>,1,-9.215919785,-0.092159198
50,2012-06-01,2012-06-30,CEMIG PN ,CMIG4<XBSP>,5,6.67993178,0.066799318
51,2012-06-01,2012-06-30,CCR ON ,CCRO3<XBSP>,4,4.012738854,0.040127389
52,2012-06-01,2012-06-30,VALE PNA ,VALE5<XBSP>,4,6.644880174,0.066448802
53,2012-06-01,2012-06-30,AMBEV PN ,AMBV4<XBSP>,3,0.815189539,0.008151895
54,2012-06-01,2012-06-30,ULTRAPAR ON ,UGPA3<XBSP>,2,8.941913714,0.089419137
55,2012-06-01,2012-06-30,TIM PART. ON ,TIMS3<XBSP>,2,14.46153846,0.144615385
56,2012-06-01,2012-06-30,GERDAU PN ,GGBR4<XBSP>,2,11.60151324,0.116015132
57,2012-06-01,2012-06-30,COPEL PNB ,CPLE6<XBSP>,2,7.752315943,0.077523159
58,2012-06-01,2012-06-30,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,2,4.866215685,0.048662157
