,date_start,data_end,name,ticker,retorno,ret
0,2007-01-01,2007-01-31,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,1.452646816,0.014526468
1,2007-01-01,2007-01-31,PETROBRAS PN ,PETR4<XBSP>,-5.025329281,-0.050253293
2,2007-01-01,2007-01-31,COPEL PNB ,CPLE6<XBSP>,3.36,0.0336
5,2007-01-01,2007-01-31,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,-7.296251834,-0.072962518
6,2007-01-01,2007-01-31,GERDAU PN ,GGBR4<XBSP>,2.549412776,0.025494128
8,2007-01-01,2007-01-31,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,-1.158324346,-0.011583243
10,2007-01-01,2007-01-31,TIM PART. ON ,TIMS3<XBSP>,-9.705648369,-0.097056484
11,2007-01-01,2007-01-31,VALE PNA ,VALE5<XBSP>,10.90573013,0.109057301
12,2007-01-01,2007-01-31,TELEFÔNICA BR PN ,VIVT4<XBSP>,-2.091773996,-0.02091774
13,2007-01-01,2007-01-31,LOJAS RENNER ON ,LREN3<XBSP>,-3.094462541,-0.030944625
14,2007-01-01,2007-01-31,BANCO DO BRASIL ON ,BBAS3<XBSP>,8.59375,0.0859375
17,2007-01-01,2007-01-31,BRF ON ,BRFS3<XBSP>,-9.364641119,-0.093646411
18,2007-01-01,2007-01-31,DASA ON ,DASA3<XBSP>,-6.900328587,-0.069003286
19,2007-01-01,2007-01-31,AMBEV PN ,AMBV4<XBSP>,3.8425412,0.038425412
21,2007-01-01,2007-01-31,COSAN ON ,CSAN3<XBSP>,-8.948545861,-0.089485459
23,2007-01-01,2007-01-31,PETROBRAS ON ,PETR3<XBSP>,-3.774981495,-0.037749815
24,2007-01-01,2007-01-31,CEMIG PN ,CMIG4<XBSP>,-3.133631775,-0.031336318
25,2007-01-01,2007-01-31,AES TIETÊ PN ,GETI4<XBSP>,2.969502408,0.029695024
26,2007-01-01,2007-01-31,CCR ON ,CCRO3<XBSP>,-3.292894281,-0.032928943
28,2007-01-01,2007-01-31,MARCOPOLO PN ,POMO4<XBSP>,5.042016807,0.050420168
31,2007-01-01,2007-01-31,ARTERIS ON ,ARTR3<XBSP>,-6.540697674,-0.065406977
32,2007-01-01,2007-01-31,VALE ON ,VALE3<XBSP>,11.61695447,0.116169545
34,2007-01-01,2007-01-31,OI PN ,OIBR4<XBSP>,-5.479452055,-0.054794521
36,2007-01-01,2007-01-31,SABESP ON ,SBSP3<XBSP>,-7.849829352,-0.078498294
38,2007-01-01,2007-01-31,BRADESCO PN ,BBDC4<XBSP>,-0.202524555,-0.002025246
39,2007-01-01,2007-01-31,TOTVS ON ,TOTS3<XBSP>,3.40452527,0.034045253
41,2007-01-01,2007-01-31,COELCE PNA ,COCE5<XBSP>,0.0,0.0
44,2007-01-01,2007-01-31,RANDON PART. PN ,RAPT4<XBSP>,7.8125,0.078125
45,2007-01-01,2007-01-31,ITAÚSA PN ,ITSA4<XBSP>,7.600732601,0.076007326
47,2007-01-01,2007-01-31,SOUZA CRUZ ON ,CRUZ3<XBSP>,5.124835743,0.051248357
49,2007-01-01,2007-01-31,TRACTEBEL ON ,EGIE3<XBSP>,1.388888889,0.013888889
51,2007-01-01,2007-01-31,SUZANO PAPEL PNA ,SUZB5<XBSP>,9.905660377,0.099056604
52,2007-01-01,2007-01-31,ALL ON ,ALLL3<XBSP>,7.21288588,0.072128859
54,2007-01-01,2007-01-31,KLABIN PN ,KLBN4<XBSP>,-4.485981308,-0.044859813
55,2007-01-01,2007-01-31,AMBEV ON ,ABEV3<XBSP>,3.339342524,0.033393425
56,2007-01-01,2007-01-31,LOCALIZA ON ,RENT3<XBSP>,0.212342545,0.002123425
57,2007-01-01,2007-01-31,TUPY ON ,TUPY3<XBSP>,-7.142857143,-0.071428571
58,2007-01-01,2007-01-31,VALID ON ,VLID3<XBSP>,13.52941176,0.135294118
59,2007-01-01,2007-01-31,EMBRAER ON ,EMBR3<XBSP>,-3.35600907,-0.033560091
63,2007-01-01,2007-01-31,LOJAS AMERICANAS PN ,LAME4<XBSP>,2.937238494,0.029372385
64,2007-01-01,2007-01-31,M. DIAS BRANCO ON ,MDIA3<XBSP>,3.04,0.0304
65,2007-01-01,2007-01-31,CPFL ENERGIA ON ,CPFE3<XBSP>,-6.666666667,-0.066666667
69,2007-01-01,2007-01-31,ITAUSA PN ,ITSA4<XBSP>,7.600732601,0.076007326
71,2007-01-01,2007-01-31,TELEFÔNICA BRASIL PN ,VIVT4<XBSP>,-2.091773996,-0.02091774
73,2007-01-01,2007-01-31,TRANSMISSÃO PAULISTA PN ,TRPL4<XBSP>,1.993355482,0.019933555
75,2007-01-01,2007-01-31,TAESA UNIT ,TAEE11<XBSP>,-4.564315353,-0.045643154
82,2007-01-01,2007-01-31,USIMINAS PNA ,USIM5<XBSP>,1.434116518,0.014341165
87,2007-01-01,2007-01-31,BRASKEM PNA ,BRKM5<XBSP>,3.533333333,0.035333333
88,2007-01-01,2007-01-31,ITAU UNIBANCO PN ,ITUB4<XBSP>,1.452646816,0.014526468
90,2007-01-01,2007-01-31,BRF S.A. ON ,BRFS3<XBSP>,-9.364641119,-0.093646411
91,2007-01-01,2007-01-31,BRASIL ON ,BBAS3<XBSP>,8.59375,0.0859375
93,2007-01-01,2007-01-31,SID NACIONAL ON ,CSNA3<XBSP>,6.806201551,0.068062016
96,2007-01-01,2007-01-31,CCR SA ON ,CCRO3<XBSP>,-3.292894281,-0.032928943
100,2007-01-01,2007-01-31,P.ACUCAR - CBD PN ,PCAR4<XBSP>,-7.296251834,-0.072962518
101,2007-01-01,2007-01-31,NATURA ON ,NTCO3<XBSP>,-4.809286899,-0.048092869
103,2007-01-01,2007-01-31,CYRELA REALT ON ,CYRE3<XBSP>,-3.629230015,-0.0362923
105,2007-01-01,2007-01-31,VIA VAREJO ON ,VIIA3<XBSP>,2.777777778,0.027777778
110,2007-01-01,2007-01-31,ENGIE BRASIL ON ,EGIE3<XBSP>,1.388888889,0.013888889
